Artist,Auction_opening_bid,auction_protected,Bloomies cost,Bloomies-sold,Category,circa,Country Of Origin,Featured Poster,Height,JPG,JPG_180_DPI,JPG_300_DPI,Manufaturer Date,Product ID,Product Name,Web Date Added,Web Keywords,Web Main Category,Web price,Web Relevance,Web Sub Category,Width
BOUCHER,,,950,,"TRAVEL
FRENCH
AVIATION
UNIQUE",,French/France,,25,1013.jpg,1013-180DPI.jpg,1013-300DPI.jpg,1951,1013,AIR FRANCE - BALEARES,8/9/18,"BLOSSOM
Sun Lovers
SUMMER FUN
GRAND TOUR
travel
spain
island
baleares
majorca
minorca 
ibiza
cherry blossom
","Travel
Transportation",1500,4,"Aviation
Spanish-Travel
French-Travel",39.5
LE MONNIER,400,400,500,,"FR
NCH
LIQUOR
MULTIPLE
GIFT-SHOW
GO-Ant
GING",,French/France,,47,34.jpg,34-180DPI.jpg,34-300DPI.jpg,1938,34,ARMAGNAC L'ARRESSINGLE,7/12/18,"FRENCH
PIPE
LIQUOR
ART DECO
SPIRITS
FRENCH
ARMAGNAC 
FOR-HIM
CANDLE",Liquor,950,3,"Spirits
Cognac
Beverages",63
BERNARD VILLEMOT,100,,150,,"FRENCH
FASHION
PRODUCTS
MULTIPLE
CATALOG ITEM
RFA 2
GIFT
RFA 4-03
GIFT-SHOW
GO-Ant
DAVID",,French/France,,16.5,67.jpg,67-180DPI.jpg,67-300DPI.jpg,1982,67,BALLY  BLONDE SMALL,8/30/18,"For Your Better Half
For the Stocking
FRENCH
PRODUCTS
WOMEN
FASHION
SHOES
SILHOUETTE
Valentines Day 2017
Mother
MODERN
for-her
BALLY
FRANCE
FRENCH
WOMAN
valentine
graduate",Products,350,5,Fashion,25.25
BOCCASILE,,,600,select bloomies,"FRENCH
FASHION
PRODUCTS
UNIQUE",,Italian/Italy,,39,69.jpg,69-180DPI.jpg,69-300DPI.jpg,1938,69,BANTAM CAPPELLO,8/30/18,"HAT
FASHION
MEN
BORSALINO
FATHER'S DAY
ITALIAN 
STYLE
MASCULINE
DECO
GIFTS FOR HIM
ART DECO
$5,000 & Under

Father's Day",Products,1500,3,Fashion,54.5
VSEVOLOD,,,600,,"FOOD
ITALIAN
UNIQUE",,Italian/Italy,,27,1020.jpg,1020-180DPI.jpg,1020-300DPI.jpg,1949,1020,BEL PAESE CHEESE MAP OF ITALY,8/10/18,"ITALY
BOOT
MAP
CHEESE
COOK
GASTRONOMY
September Additions
ITALIAN
KITCHEN
For the Holiday Host",Food,850,3,OtherFoods,39
RENE GRUAU,,,650,,GIFT-SHOW,c,Italian/Italy,,39,947.jpg,947-180DPI.jpg,947-300DPI.jpg,1980,947,BEMBERG MOTORCYCLES,8/30/18,"ITALIAN
MEN
FUN IN THE SUN
MOTORCYCLE
FABRIC
CYCLE
FATHER'S DAY
bike","Transportation
Products",950,5,"cycling
Bicycles/Motorcycles
Fashion",54
MAUZAN,2000,3700,3700,,"ITALIAN
FOOD
UNIQUE
GO-Ant
GIFT-SHOW
CELINE
CATALOG ITEM
SELECT. MICK",,Italian/Italy,Featured Poster,39.5,993.jpg,993-180DPI.jpg,993-300DPI.jpg,1930,993,BERTOZZI ,6/22/18,"Estate Collection
ITALIAN
MEN
FATHER'S DAY
cheese
parmigian
For the Collector
reggiano
FOOD
For-him
Hom
UNIQUE
ITALIAN
For the Collector",Food,4700,3,OtherFoods,55.5
BELLENGER,300,490,900,,"MU
TIPLE
LIQUOR
CATALOG ITEM
Liq
RFA 2
ART.COM
RFA 4-03
GO-Ant
MULTIPLE
OVERSIZE",,French/France,,51,87.jpg,87-180DPI.jpg,87-300DPI.jpg,1936,87,BOURIN QUINQUINA FULL,8/10/18,"MEN
LIVE AUCTION
FOOD
LIQUOR
OVERSIZE
GoAnt
For-him
GOANT
him
ART DECO
$5,000 & Under
GIFTS FOR HIM",Liquor,1300,3,"Spirits
Tobacco",78.75
THI,,,2100,,"FRENCH
LIQUOR
UNIQUE
APPLEJACK",,French/France,Featured Poster,28.5,1124.jpg,1124-180DPI.jpg,1124-300DPI.jpg,1926,1124,BRASSERIE LENGRAND - FROG,8/10/18,"FROG
STRAW
BEER
bier
classic",Liquor,2600,3,Beer,41
LEONETTO CAPPIELLO,1500,2400,2200,,"TO
ACCO
MULTIPLE

FRENCH
PRODUCTS
APPLEJACK
GIFT-SHOW
GO-Ant
SELECT. MICK",,French/France,Featured Poster,39,92.jpg,92-180DPI.jpg,92-300DPI.jpg,1922,92,CACHOU LAJAUNIE CAPPIELLO,8/10/18,"SMOKING
TOBACCO
CANDY
LOZENGE
FEATHER
WOMAN
FASHION
DRESS
POPULAR POSTER
MINTS
$5,000 & Under",Products,3800,3,Tobacco,59
SEM,350,750,600,,"TRAVEL
HORIZONTAL
FRENCH
UNIQUE
RFA 2
DAVID",,French/France,,46,1066.jpg,1066-180DPI.jpg,1066-300DPI.jpg,1930,1066,CANNES - LETTERS,8/13/18,"FLOWERS
BEACH
SOUTH 
COTE 
PROVENCE
RIVIERA 
MIMOSA
WATER 
OCEAN
ART DECO 
Home
OCEAN
MEDITERRANEAN 
GOANT
FRANCE
SUMMER",Travel,900,3,French-Travel,30.5
BONFATTI,500,1300,800,,"FR
NCH
FOOD
CHILDREN
CHOCOLATE
GIFT-SHOW
GO-Ant
MULTIPLE
CELINE",C,Italian/Italy,,39,95.jpg,95-180DPI.jpg,95-300DPI.jpg,1925,95,CARAMEL KLAUS,5/24/18,"
CHOCOLATE
CHILDREN
CANDY
GIRL
BOY
$5,000 & Under",Food,1700,3,Chocolate/Candy,59.5
ANONYMOUS,,,250,,"FRENCH
PRODUCTS
FASHION
UNIQUE",C,French/France,,26.75,100.jpg,100-180DPI.jpg,100-300DPI.jpg,1985,100,CARTIER WATCH - COUPLE,8/30/18,"WATCH
LEMPICKA
DECO
ART DECO
FUTURIST
FUTURISM
CAR
FATHER'S DAY
JEWEL
",Products,450,6,Fashion,39
LOUPOT,,,,,"FRENCH
LIQUOR
UNIQUE
ENTERTAIN
GIFT-SHOW",C,French/France,,26,4163.jpg,4163-180DPI.jpg,4163-300DPI.jpg,1990,4163,CAVES PETRISSANS,11/29/17,"wine
WOMAN
ART DECO
BEVERAGE
FLASH
$500 & UNDER
GIFTS FOR HER",Liquor,450,5,"Wine
French-Travel",40
ANDY WARHOL,150,,1000,,"PRODUCTS
FRENCH
FASHION
UNIQUE
GO-Ant
Box A
GIFT-SHOW
SELECT. JODI",,French/France,,46.5,1028.jpg,1028-180DPI.jpg,1028-300DPI.jpg,1997,1028,CHANEL - LT. PINK DK. PINK,8/30/18,"PERFUME
AMERICAN
PRODUCT
MOTHER
for-her
FRAGRANCE",Products,1250,5,"Fashion
Cosmetics/Soaps",67
ANDY WARHOL,225,,1000,,"PRODUCTS
FRENCH
FASHION
RFA 4-03
MULTIPLE
Box A
GIFT-SHOW",,French/France,,46.5,1030.jpg,1030-180DPI.jpg,1030-300DPI.jpg,1997,1030,CHANEL - TURQ GREEN,8/30/18,"PERFUME
AMERICAN 
PRODUCT
MOTHER
for-her
FRAGRANCE",Products,1250,5,"Fashion
Cosmetics/Soaps",67
LEONETTO CAPPIELLO,2500,4250,5500,,"FR
NCH
LIQUOR
UNIQUE
OVERSIZE

CATALOG ITEM
Liq
GIFT
APPLEJACK
GO-Ant
SELECT. MICK",,French/France,Featured Poster,50,127.jpg,127-180DPI.jpg,127-300DPI.jpg,1927,127,COGNAC MONNET,8/13/18,"FRENCH
OVERSIZE
WOMEN
DANCER
SUN
POPULAR POSTER
ART DECO
collect
COGNAC
For Your Better Half
For the Collector","Liquor
Featured Posters",6800,3,"Cognac
POPULAR POSTERS",78
LEONETTO CAPPIELLO,300,650,700,,"LI
UOR
FRENCH
CATALOG ITEM
APPLEJACK
GIFT-SHOW
MULTIPLE
DAVID",C,French/France,,32,1064.jpg,1064-180DPI.jpg,1064-300DPI.jpg,1920,1064,COGNAC PELLISSON SMALL,5/18/18,"FRENCH
BARREL
FATHER'S DAY
POPULAR POSTER
BLACK
COGNAC
gift show
$5,000 & Under
GIFTS FOR HIM
Father",Liquor,1200,2,"Cognac
Dance/Ballet",47.5
